Day,e=0,e=0.1,e=0.3,e=0.5
4.472368092021497,228.11720518730317,238.29434966203107,292.9916873723943,340.2973963864096
9.036009002251376,228.37084967456923,239.07213279142638,298.40098037265534,353.6694783602166
13.599649912477616,228.60661778094638,239.73980244857867,302.7095032347867,362.96997511827465
18.163290822703857,228.81891080413837,240.28090531783792,305.8012651907017,366.8710180954967
22.726931732933735,229.00299647640063,240.68225280114774,307.6101155027189,365.2537079110767
27.290572643159976,229.1544545086307,240.93366557037962,308.14172562596775,359.2167057344451
31.854213553386217,229.26955745450095,241.0287270603641,307.474384333504,350.32474748990325
36.417854463616095,229.34536157887962,240.96509771489968,305.7456383948099,340.1232761771851
40.981495373842336,229.37984147054595,240.74460781337473,303.1325345481869,329.70277467105274
45.545136284072214,229.37193581578248,240.37303610089617,299.82397983311705,319.64360778695567
50.108777194298455,229.32161665942652,239.85987660351094,295.9539090454317,310.19166342610544
54.672418104524695,229.229933334708,239.21776916316023,291.68582887899123,301.4133383127119
59.236059014754574,229.09893362757091,238.46196240599565,287.1993742763233,293.2886886998624
63.799699924980814,228.93177040214613,237.60942713154196,282.62708031702823,285.76011663104515
68.36334083520705,228.7325235803248,236.67813947645226,278.05871500280006,278.75602951479385
72.92698174543693,228.50618070629105,235.68634481471705,273.5510081021238,272.2016571246872
77.49062265566317,228.25843968209347,234.6518802737398,269.1372138917203,266.0232557338799
82.05426356588941,227.99553815596695,233.59160394706922,264.83411344949445,260.1484864807261
86.61790447611929,227.72412302623007,232.52103101927486,260.6470912553769,254.50423253000577
91.18154538634553,227.45105037611245,231.45403539268216,256.5729994341999,249.00964787778904
95.74518629657541,227.18318506234175,230.40273241322117,252.6024606296205,243.4604599499408
100.30882720680165,226.9272250176938,229.3774477532771,248.72028123275086,237.1289328331722
104.87246811702789,226.68950348801425,228.3867467788677,244.9052843098417,230.8339342714591
109.43610902725777,226.47588626316698,227.4375263800862,241.12780763949533,225.71782209194964
113.99974993748401,226.29157524137824,226.53514004187917,237.30868167847288,221.4397059311943
118.56339084771025,226.14102426985457,225.68356651414865,233.05561644176206,217.78155297094466
123.12703175794013,226.02784593095456,224.88557357208055,228.4219196622252,214.60006920756874
127.69067266816637,225.954719430888,224.1428760604567,224.61650411099927,211.79687127937478
132.2543135783926,225.92332838241325,223.45628755113717,221.48992357165946,209.30201835236673
136.8179544886225,225.9343622494984,222.8258653853223,218.8620448600625,207.06437407310221
141.38159539884873,225.987477022749,222.25104775688408,216.61515972286222,205.0455742448832
145.9452363090786,226.08131330827632,221.73077792685177,214.66890907312424,203.21633872306265
150.50887721930485,226.2135389455496,221.26360823386074,212.9666091807687,201.5538820813533
155.0725181295311,226.38086954538923,220.84778109733423,211.46719363145183,200.0401799652386
159.63615903976097,226.57921362270022,220.48131862407098,210.1403299429343,198.66089497272944
164.1997999499872,226.80374295616997,220.16208290681422,208.96311612873046,197.4044325466386
168.76344086021345,227.04897936461973,219.88784200247395,207.91813856362936,196.26138975608552
173.32708177044333,227.30893566119025,219.6563153437743,206.9919033012848,195.2240967754303
177.89072268066957,227.57726486502483,219.46519747270443,206.17391259589155,194.2862785208292
182.4543635908958,227.847385648176,219.31220760223167,205.4559390494306,193.44281552996267
187.0180045011257,228.1126736242882,219.19512933498916,204.83152194152018,192.68953874402993
191.58164541135193,228.36657348307426,219.11177362118843,204.29555726943792,192.0231497511345
196.1452863215818,228.60270384641439,219.06001526957388,203.84408773500405,191.4410841374781
200.70892723180805,228.815446516107,219.03810031198392,203.47419509975063,190.9414496922686
205.2725681420343,229.00006194389294,219.04462489522268,203.18383934249943,190.52298970336201
209.83620905226417,229.15212141125792,219.0780938153109,202.97156537624608,190.18499056111997
214.3998499624904,229.26788414374087,219.1370565240573,202.83639639571962,189.92720779440384
218.96349087271665,229.34439152589363,219.22022908192332,202.7778473637356,189.7498648055566
223.52713178294653,229.37960307465903,219.32646480902812,202.7959426461206,189.65368312194755
228.09077269317277,229.37243718875968,219.45480135208322,202.8910750455569,189.63991901000006
232.654413603399,229.3228513331462,219.60450265658483,203.06406290787822,189.71028664779706
237.21805451362889,229.2318706133233,219.77505222580808,203.3161581122847,189.86704220131023
241.78169542385513,229.10153107338607,219.9661865631012,203.6490070798278,190.11301263865974
246.34533633408137,228.93496485870148,220.17795959007447,204.0646459755402,190.45174688723532
250.90897724431125,228.73623569754992,220.4107331358638,204.56553651363436,190.88736056727464
255.47261815453749,228.51031714658717,220.66522596752975,205.1545882501447,191.4248130096564
260.03625906476736,228.26289613965076,220.94252029934378,205.83513274884734,192.06992115567192
264.5998999749936,228.00020227441698,221.24407477905385,206.61099705785801,192.8294629425992
269.16354088521985,227.72887692751158,221.57172946908292,207.4865426043155,193.7113059803953
273.7271817954497,227.4557743091239,221.92769618953236,208.466677616265,194.72460664357115
278.29082270567596,227.1877605816576,222.31453686418334,209.55688966936387,195.87998120787216
282.8544636159022,226.9315382877704,222.73511790079644,210.7632970021987,197.18978417514552
287.4181045261321,226.69344770669872,223.19254396581414,212.09268679797907,198.668454058164
291.9817454363583,226.4793648349357,223.69006810959806,213.55256869973124,200.3327365570961
296.54538634658456,226.29450381433836,224.2309750465205,215.15120092721784,202.20226744761845
301.10902725681444,226.14333226562235,224.81843829339556,216.89759626653816,204.30023259838606
305.6726681670407,226.02947832274683,225.4553280312088,218.80150126010446,206.65373372775755
310.23630907727056,225.955637784302,226.14395198012232,220.87331463290067,209.2949938663193
314.7999499874968,225.92351230340074,226.88584701782136,223.12390847409858,212.26231018200883
319.36359089772304,225.9338084507701,227.6814868554814,225.5642453942259,215.6012790357438
323.9272318079529,225.98620002233463,228.52997917099472,228.20479088654085,219.36620030226618
328.49087271817916,226.0793454858205,229.42874985777783,231.0545416380178,223.62196303405548
333.0545136284054,226.210928719979,230.37325450506606,234.11991964426758,228.44577858998832
337.6181545386353,226.37768162060152,231.356715177047,237.71293558855638,233.92847472488103
342.1817954488615,226.57552561971016,232.3699517222199,244.91245139945335,241.962343950248
346.74543635908776,226.79964473406596,233.40128455429246,253.68624175307653,256.67725789076775
351.30907726931764,227.04457107010725,234.4365829202958,262.6129253814181,273.2456564320135
355.8727181795439,227.30432451047173,235.4594905304229,271.17138303116616,290.27052382113044
360.43635908977376,227.5725638818438,236.4517683599148,279.13479484282175,307.2938399955124
365.0,227.84270343948452,237.3938545772927,286.3773506849652,324.02019810477066
